x,y,t
24.961782113978654,61.04438430272431,5881.75
24.963510179961908,61.045608554524044,5882.0
24.965238245945162,61.04683280632378,5882.25
24.966966311928417,61.04805705812351,5882.5
24.96869437791167,61.049281309923245,5882.75
24.970422443894925,61.05050556172298,5883.0
24.97215050987818,61.051729813522705,5883.25
24.973878575861434,61.05295406532244,5883.5
24.97560664184469,61.05417831712217,5883.75
24.977334707827943,61.055402568921906,5884.0
24.979062773811197,61.05662682072164,5884.25
24.98079083979445,61.05785107252137,5884.5
24.982518905777706,61.05907532432111,5884.75
24.98424697176096,61.06029957612083,5885.0
24.985975037744215,61.06152382792057,5885.25
24.98770310372747,61.0627480797203,5885.5
24.98943116971072,61.063972331520034,5885.75
24.991159235693974,61.06519658331977,5886.0
24.99288730167723,61.0664208351195,5886.25
24.994615367660483,61.067645086919235,5886.5
24.996343433643737,61.06886933871896,5886.75
24.99807149962699,61.070093590518695,5887.0
24.999799565610246,61.07131784231843,5887.25
25.0015276315935,61.07254209411816,5887.5
25.003255697576755,61.073766345917896,5887.75
25.00498376356001,61.07499059771763,5888.0
25.006711829543264,61.07621484951736,5888.25
25.008439895526518,61.07743910131709,5888.5
25.010167961509772,61.07866335311682,5888.75
25.011176,61.0793775,5889.0
25.011176,61.0793775,5889.25
25.011176,61.0793775,5889.5
25.011176,61.0793775,5889.75
25.011176,61.0793775,5890.0
25.011176,61.0793775,5890.25
25.011176,61.0793775,5890.5
25.011176,61.0793775,5890.75
25.011176,61.0793775,5891.0
25.011176,61.0793775,5891.25
25.011176,61.0793775,5891.5
25.011176,61.0793775,5891.75
25.011176,61.0793775,5892.0
25.011176,61.0793775,5892.25
25.011176,61.0793775,5892.5
25.011176,61.0793775,5892.75
25.011176,61.0793775,5893.0
25.011176,61.0793775,5893.25
25.011176,61.0793775,5893.5
25.011176,61.0793775,5893.75
25.011176,61.0793775,5894.0
25.011176,61.0793775,5894.25
25.011176,61.0793775,5894.5
25.011176,61.0793775,5894.75
25.011176,61.0793775,5895.0
25.011176,61.0793775,5895.25
25.011176,61.0793775,5895.5
25.011176,61.0793775,5895.75
25.011176,61.0793775,5896.0
25.011176,61.0793775,5896.25
25.011176,61.0793775,5896.5
25.011176,61.0793775,5896.75
25.011176,61.0793775,5897.0
25.011176,61.0793775,5897.25
25.011176,61.0793775,5897.5
25.011176,61.0793775,5897.75
25.011176,61.0793775,5898.0
25.011176,61.0793775,5898.25
25.011176,61.0793775,5898.5
25.011176,61.0793775,5898.75
25.011176,61.0793775,5899.0
25.011176,61.0793775,5899.25
25.011176,61.0793775,5899.5
25.011176,61.0793775,5899.75
25.011176,61.0793775,5900.0
25.011176,61.0793775,5900.25
25.011176,61.0793775,5900.5
25.011176,61.0793775,5900.75
25.011176,61.0793775,5901.0
25.011176,61.0793775,5901.25
25.011176,61.0793775,5901.5
25.011176,61.0793775,5901.75
25.011176,61.0793775,5902.0
25.011176,61.0793775,5902.25
25.011176,61.0793775,5902.5
25.011176,61.0793775,5902.75
25.011176,61.0793775,5903.0
25.011176,61.0793775,5903.25
25.011176,61.0793775,5903.5
25.011176,61.0793775,5903.75
25.00984186352488,61.07960717634695,5904.0
25.006639935984627,61.08015839957961,5904.25
25.003438008444377,61.08070962281227,5904.5
25.000236080904124,61.081260846044934,5904.75
24.997034153363874,61.081812069277596,5905.0
24.99383222582362,61.08236329251026,5905.25
24.99063029828337,61.08291451574292,5905.5
24.98742837074312,61.08346573897558,5905.75
24.984226443202868,61.084016962208246,5906.0
24.981024515662618,61.08456818544091,5906.25
24.977822588122365,61.08511940867357,5906.5
24.974620660582115,61.08567063190623,5906.75
24.97141873304186,61.086221855138895,5907.0
24.968216805501612,61.08677307837156,5907.25
24.96501487796136,61.08732430160422,5907.5
24.96181295042111,61.08787552483688,5907.75
24.95861102288086,61.088426748069544,5908.0
24.955409095340606,61.08897797130221,5908.25
24.952207167800356,61.08952919453487,5908.5
